category,bad_control_reason,excluded_type
lds sample buffer,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
liquid-based dna plasmid purification kit,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
mes-sds buffer,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
mops-sds buffer,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
native page running buffers,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
native-page sample buffer,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
nitrile gloves,US-relevant shock: 2017-2018 NBR feedstock shortage drove 20-40% lab glove price increases,excluded control
nitrogen,"US M&A in window: Air Liquide-Airgas closed May 2016, Praxair-Linde announced 2016; prices track energy",excluded control
phosphoprotein electrophoresis reagents,classification uncertainty - not shock-based; specialty SDS-PAGE reagent overlapping with Tier 2 protein workflow,excluded control
pipes buffers,classification ambiguity: prepared buffer solution in same family as Tier 2 process liquids (PBS/TE/HBSS/EBSS),excluded control
plasmid vectors,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
polyacrylamide gels casting kit,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
primary antibodies,antibody reproducibility crisis 2014-16; Sigma-Aldrich/MilliporeSigma merger Nov 2015 affected major antibody supplier,excluded control
reducing agents - bme,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
rna extraction reagents,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
rna polymerases,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
rna stabilization reagent,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
secondary antibodies,antibody reproducibility crisis 2014-16; Sigma-Aldrich/MilliporeSigma merger Nov 2015 affected major antibody supplier,excluded control
silica bead based gel purification kit,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
site-directed mutagenesis kits,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
site-directed mutagenesis systems,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
slide mounting medium,"quality upgrading in window: ProLong Diamond (~2014), ProLong Glass (~2017), VectaShield Vibrance (~2018) premium launches for confocal/superresolution; spend-per-unit rises from composition shift without SKU repricing",excluded control
sodium hydride,"outside life-sciences consumables scope: synthetic-chemistry commodity, petrochemical feedstock pricing, non-life-science buyer base",excluded control
spin columns,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
sucrose,"US shock: AD/CVD case vs Mexican sugar (filed Mar 2014, suspension agreements Dec 2014) + 2012 drought; also ambiguous with Tier 3 supplements-sugars",excluded control
synthetic dna oligonucleotide - desalted,US-driven secular price collapse: Twist Bioscience entry 2013 + IDT scale-up dropped per-base costs ~10x in window,excluded control
synthetic dual-labeled probe,US-driven secular price collapse: Twist Bioscience entry 2013 + IDT scale-up dropped per-base costs ~10x in window,excluded control
synthetic shrna,"tier 2 treated but excluded: CRISPR substitute entry (Cas9 2013, GeCKO libraries 2014) hit knockdown screening at merger date; merger pricing effect not separable from technology substitution",excluded treated (own shock)
syringe filters,US M&A in window: Pall Corp -> Danaher (closed Aug 2015) reshuffled US lab filtration market,excluded control
syringes,US M&A in window: Becton Dickinson + CareFusion closed Mar 2015; BD dominates US needle/syringe,excluded control
tbe buffer,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
transfection reagents - lentiviral packaging kits,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
transfection reagents - polybrene (viral transduction),tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
transposon mutagenesis kits,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
tris-aceate-sds running buffer,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
tris-acetate-edta (tae) buffer,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
tris-glycine buffer,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
tris-glycine-sds (tgs) buffer,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
tris-tricine-sds buffer,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
western blot transfer buffers,tier 3: bundled with treated markets; excluded from control pool,tier 3 excluded from both groups
